length,present,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,txtList.started,txtList.stopped,txtProbe.started,txtProbe.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,sound_1.started,sound_1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
7,1,2,2,18,3,102.51792330015451,104.01885029999539,106.02056680014357,None,left,1,0.6297561000101268,106.02056680014357,None,106.67115126997233,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
5,0,2,3,19,6,107.25496700010262,108.75584560004063,110.75781650003046,None,right,1,0.6515232999809086,110.75781650003046,None,111.42509107016959,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
5,1,2,4,20,2,112.00897860014811,113.51005010004155,115.51168849994428,None,left,1,0.8785840999335051,115.51168849994428,None,116.41257736999542,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
3,0,2,5,21,5,116.9963776001241,118.49774789996445,120.4992488999851,None,right,1,0.5391244997736067,120.4992488999851,None,121.0663922699634,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
7,0,2,6,22,7,121.6504957000725,123.15115149994381,125.15338549995795,None,right,1,0.8206034998875111,125.15338549995795,None,126.00415496998467,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
1,0,2,7,23,4,126.6045234000776,128.1055226000026,130.10738679999486,None,right,1,0.5159436999820173,130.10738679999486,None,130.6410779699683,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
1,0,3,0,24,4,131.22464710008353,132.72584930015728,134.7275670999661,None,right,1,0.4947130000218749,134.7275670999661,None,135.2446748700924,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
7,1,3,1,25,3,135.8454041001387,137.346429400146,139.3313666000031,None,left,1,0.669753700029105,139.3313666000031,None,140.03211377006954,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
3,1,3,2,26,1,140.63257420016453,142.13393030012958,144.13532699993812,None,left,1,0.5780722999479622,144.13532699993812,None,144.7358385699801,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
1,1,3,3,27,0,145.32004330004565,146.8207688999828,148.8227077999618,None,left,1,0.49345459998585284,148.8227077999618,None,149.33979337015188,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
